id,name
__data_import_.product_tag_1,1080P
__data_import_.product_tag_2,720P
__data_import_.product_tag_3,MEGAPIXEL
__data_import_.product_tag_4,ACCESSOIRES
__data_import_.product_tag_5,ALIMENTATIONS
__data_import_.product_tag_6,ANALOGIQUE
__data_import_.product_tag_7,ANALYSE D'IMAGE
__data_import_.product_tag_8,AUTRES
__data_import_.product_tag_9,BAIES
__data_import_.product_tag_10,BOX
__data_import_.product_tag_11,BULLET
__data_import_.product_tag_12,CABLAGE
__data_import_.product_tag_13,CAISSONS
__data_import_.product_tag_14,CAMERA
__data_import_.product_tag_15,COFFRETS
__data_import_.product_tag_16,CONTROLE D'ACCES
__data_import_.product_tag_17,CONVERTISSEUR
__data_import_.product_tag_18,DECODEUR
__data_import_.product_tag_19,DOME MOTORISÉ
__data_import_.product_tag_20,DVR
__data_import_.product_tag_21,ENCODEURS
__data_import_.product_tag_22,ENREGISTREMENT
__data_import_.product_tag_23,ENTRÉE SORTIE CONTACT SEC
__data_import_.product_tag_24,FO-COAX
__data_import_.product_tag_25,FO-IP
__data_import_.product_tag_26,HARDWARE
__data_import_.product_tag_27,HD
__data_import_.product_tag_28,HYBRID
__data_import_.product_tag_29,INFRASTRUCTURE PHYSIQUE
__data_import_.product_tag_30,IP-COAX
__data_import_.product_tag_31,IPBOX
__data_import_.product_tag_32,IPRACK
__data_import_.product_tag_33,JOYSTICK
__data_import_.product_tag_34,MEGA 
__data_import_.product_tag_35,MEGA PIXELS
__data_import_.product_tag_36,MINI DOMES
__data_import_.product_tag_37,MODULE GBIC
__data_import_.product_tag_38,MONITEUR
__data_import_.product_tag_39,MONITEUR BNC
__data_import_.product_tag_40,MONITEUR INFORMATIQUE
__data_import_.product_tag_41,NVR
__data_import_.product_tag_42,OBJECTIFS
__data_import_.product_tag_43,ONDULEURS
__data_import_.product_tag_44,PANORAMIQUE
__data_import_.product_tag_45,PIN HOLE
__data_import_.product_tag_46,PLUG IN
__data_import_.product_tag_47,PROJECTEUR IR
__data_import_.product_tag_48,RADIO 
__data_import_.product_tag_49,RÉSEAU
__data_import_.product_tag_50,SD
__data_import_.product_tag_51,SERVICES
__data_import_.product_tag_52,SMART WALL
__data_import_.product_tag_53,SOFWARE
__data_import_.product_tag_54,STANDARDS
__data_import_.product_tag_55,SUPPORT
__data_import_.product_tag_56,SUPPORTS MONITEURS
__data_import_.product_tag_57,SWITCH
__data_import_.product_tag_58,SWITCH KVM
__data_import_.product_tag_59,TOURELLES
__data_import_.product_tag_60,VISUALISATION
__data_import_.product_tag_61,VMS
__data_import_.product_tag_62,XPROTECT CORPORATE
__data_import_.product_tag_63,XPROTECT ENTREPRISE
__data_import_.product_tag_64,XPROTECT ESSENTIAL
__data_import_.product_tag_65,XPROTECT EXPERT
__data_import_.product_tag_66,XPROTECT EXPRESS
__data_import_.product_tag_67,XPROTECT PROFESSIONAL
